issue,pred_code,true_code,hit
2024340,100,870,0
2024341,303,530,0
2024342,666,164,0
2024343,770,760,0
2024344,963,963,1
2024345,969,869,0
2024346,457,477,0
2024347,887,737,0
2024348,555,542,0
2024349,005,501,0
2024350,553,633,0
2024351,894,894,1
2024352,611,316,0
2025001,274,274,1
2025002,433,343,0
2025003,638,638,1
2025004,958,985,0
2025005,338,831,0
2025006,794,794,1
2025007,096,906,0
2025008,828,828,1
2025009,993,913,0
2025010,882,825,0
2025011,446,476,0
2025012,115,115,1
2025013,711,723,0
2025014,097,097,1
2025015,663,653,0
2025016,442,441,0
2025017,330,310,0
2025018,601,631,0
2025019,988,986,0
2025020,282,219,0
2025021,885,885,1
2025022,008,108,0
2025023,888,865,0
2025024,724,724,1
2025025,176,173,0
2025026,342,342,1
2025027,842,812,0
2025028,701,951,0
2025029,844,349,0
2025030,141,461,0
2025031,655,655,1
2025032,421,429,0
2025033,770,071,0
2025034,537,337,0
2025035,614,612,0
2025036,422,452,0
2025037,230,230,1
2025038,707,707,1
2025039,353,753,0
2025040,050,051,0
2025041,880,870,0
2025042,606,606,1
2025043,822,832,0
2025044,797,796,0
2025045,553,593,0
2025046,070,170,0
2025047,992,922,0
2025048,444,445,0
2025049,694,694,1
2025050,036,036,1
2025051,954,954,1
2025052,192,192,1
2025053,161,461,0
2025054,668,668,1
2025055,117,607,0
2025056,404,403,0
2025057,888,288,0
2025058,750,750,1
2025059,433,423,0
2025060,911,911,1
2025061,562,256,0
2025062,016,016,1
2025063,868,869,0
2025064,666,646,0
2025065,919,519,0
2025066,900,905,0
2025067,698,698,1
2025068,392,392,1
2025069,181,185,0
2025070,116,116,1
2025071,277,277,1
2025072,090,091,0
2025073,704,704,1
2025074,747,743,0
2025075,260,260,1
2025076,881,841,0
2025077,717,157,0
2025078,921,921,1
2025079,237,337,0
2025080,688,687,0
2025081,501,510,0
2025082,099,690,0
2025083,255,255,1
2025084,165,162,0
2025085,216,054,0
2025086,775,975,0
2025087,502,502,1
2025088,163,163,1
2025089,635,635,1
2025090,746,744,0
2025091,620,620,1
2025092,279,972,0
2025093,444,844,0
2025094,989,789,0
2025095,658,586,0
2025096,611,661,0
2025097,642,462,0
2025098,005,105,0
2025099,224,427,0
2025100,116,261,0
2025101,117,187,0
2025102,272,272,1
2025103,574,574,1
2025104,333,323,0
2025105,991,931,0
2025106,636,630,0
2025107,057,057,1
2025108,388,308,0
2025109,292,239,0
2025110,766,866,0
2025111,841,841,1
2025112,555,215,0
2025113,776,713,0
2025114,022,032,0
2025115,019,901,0
2025116,327,327,1
2025117,191,191,1
2025118,063,063,1
2025119,555,554,0
2025120,097,087,0
2025121,985,985,1
2025122,447,478,0
2025123,727,727,1
2025124,684,684,1
2025125,400,409,0
2025126,001,201,0
2025127,770,570,0
2025128,724,724,1
2025129,006,006,1
2025130,808,821,0
2025131,166,166,1
2025132,992,892,0
2025133,013,013,1
2025134,619,680,0
2025135,535,235,0
2025136,776,276,0
2025137,037,037,1
2025138,344,374,0
2025139,161,416,0
2025140,766,786,0
2025141,411,421,0
2025142,962,962,1
2025143,758,758,1
2025144,328,308,0
2025145,722,842,0
2025146,610,630,0
2025147,991,169,0
2025148,562,562,1
2025149,917,915,0
2025150,966,966,1
2025151,093,093,1
2025152,227,227,1
2025153,649,649,1
2025154,719,719,1
2025155,807,708,0
2025156,101,371,0
2025157,481,085,0
2025158,664,664,1
2025159,191,891,0
2025160,017,017,1
2025161,904,904,1
2025162,554,554,1
2025163,240,240,1
2025164,343,341,0
2025165,838,838,1
2025166,004,064,0
2025167,567,137,0
